Day,5FU_Dose_mg,Oxaliplatin_Dose_mg,ANC_10^9_L,Acute_Neuropathy(0/1),Chronic_Neuropathy(0/1),Cumulative_Oxaliplatin_mg,Utility,Daily_Cost,Total_Cost
0,4489.98886412873,159.0204389378925,3.5,0,0,0.0,0.76,297.7477946732382,0.0
1,4489.98886412873,0.0,3.3150218129413633,1,0,159.0204389378925,0.1246880325641644,281.84575077944896,297.7477946732382
2,0.0,0.0,3.1939244307556534,0,0,159.0204389378925,0.38276210159404295,0.0,579.5935454526872
3,0.0,0.0,3.2398357661423054,0,0,159.0204389378925,0.6636539308972269,0.0,579.5935454526872
4,0.0,0.0,3.2788604012209595,0,0,159.0204389378925,0.6626904702061991,0.0,579.5935454526872
5,0.0,0.0,3.3120313410378155,0,0,159.0204389378925,0.6617173749082611,0.0,579.5935454526872
6,0.0,0.0,3.340226639882143,0,0,159.0204389378925,0.6607345486573437,0.0,579.5935454526872
7,0.0,0.0,3.3641926438998215,0,0,159.0204389378925,0.6597418941439172,0.0,579.5935454526872
8,0.0,0.0,3.384563747314848,0,0,159.0204389378925,0.6587393130853563,0.0,579.5935454526872
9,0.0,0.0,3.401879185217621,0,0,159.0204389378925,0.6577267062162099,0.0,579.5935454526872
10,0.0,0.0,3.416597307434978,0,0,159.0204389378925,0.6567039732783719,0.0,579.5935454526872
11,0.0,0.0,3.4291077113197312,0,0,159.0204389378925,0.6556710130111557,0.0,579.5935454526872
12,0.0,0.0,3.4397415546217713,0,0,159.0204389378925,0.6546277231412673,0.0,579.5935454526872
13,0.0,0.0,3.4487803214285058,0,0,159.0204389378925,0.65357400037268,0.0,579.5935454526872
14,4489.98886412873,159.0204389378925,3.45646327321423,0,0,159.0204389378925,0.6525097403764067,297.7477946732382,579.5935454526872
15,4489.98886412873,0.0,3.280316550828116,1,0,318.040877875785,0.11738022272463479,281.84575077944896,877.3413401259254
16,0.0,0.0,3.1659832203635445,0,0,318.040877875785,0.3756169820762961,0.0,1159.1870909053744
17,0.0,0.0,3.216085737309013,0,0,318.040877875785,0.6564373601843025,0.0,1159.1870909053744
18,0.0,0.0,3.2586728767126614,0,0,318.040877875785,0.6554017337861455,0.0,1159.1870909053744
19,0.0,0.0,3.294871945205762,0,0,318.040877875785,0.654355751124007,0.0,1159.1870909053744
20,0.0,0.0,3.3256411534248977,0,0,318.040877875785,0.6532993086352471,0.0,1159.1870909053744
21,0.0,0.0,3.3517949804111633,0,0,318.040877875785,0.6522323017215996,0.0,1159.1870909053744
22,0.0,0.0,3.3740257333494887,0,0,318.040877875785,0.6511546247388156,0.0,1159.1870909053744
23,0.0,0.0,3.3929218733470656,0,0,318.040877875785,0.6500661709862037,0.0,1159.1870909053744
24,0.0,0.0,3.408983592345006,0,0,318.040877875785,0.6489668326960658,0.0,1159.1870909053744
25,0.0,0.0,3.422636053493255,0,0,318.040877875785,0.6478565010230264,0.0,1159.1870909053744
26,0.0,0.0,3.434240645469267,0,0,318.040877875785,0.6467350660332567,0.0,1159.1870909053744
27,0.0,0.0,3.444104548648877,0,0,318.040877875785,0.6456024166935892,0.0,1159.1870909053744
28,4489.98886412873,159.0204389378925,3.4524888663515454,0,0,318.040877875785,0.6444584408605252,297.7477946732382,1159.1870909053744
29,4489.98886412873,0.0,3.2771483560165744,1,0,477.0613168136775,0.10952503895532595,281.84575077944896,1456.9348855786125
30,0.0,0.0,3.1634325063679665,0,0,477.0613168136775,0.36793667455625406,0.0,1738.7806363580614
31,0.0,0.0,3.2139176304127717,0,0,477.0613168136775,0.64868024958906,0.0,1738.7806363580614
32,0.0,0.0,3.256829985850856,0,0,477.0613168136775,0.6475670520849507,0.0,1738.7806363580614
33,0.0,0.0,3.2933054879732273,0,0,477.0613168136775,0.6464427226058002,0.0,1738.7806363580614
34,0.0,0.0,3.3243096647772434,0,0,477.0613168136775,0.6453071498318582,0.0,1738.7806363580614
35,0.0,0.0,3.350663215060657,0,0,477.0613168136775,0.6441602213301768,0.0,1738.7806363580614
36,0.0,0.0,3.3730637328015582,0,0,477.0613168136775,0.6430018235434786,0.0,1738.7806363580614
37,0.0,0.0,3.3921041728813246,0,0,477.0613168136775,0.6418318417789133,0.0,1738.7806363580614
38,0.0,0.0,3.4082885469491258,0,0,477.0613168136775,0.6406501601967025,0.0,1738.7806363580614
39,0.0,0.0,3.4220452649067568,0,0,477.0613168136775,0.6394566617986694,0.0,1738.7806363580614
40,0.0,0.0,3.433738475170743,0,0,477.0613168136775,0.6382512284166562,0.0,1738.7806363580614
41,0.0,0.0,3.4436777038951316,0,0,477.0613168136775,0.6370337407008227,0.0,1738.7806363580614
42,4489.98886412873,159.0204389378925,3.452126048310862,0,0,477.0613168136775,0.635804078107831,297.7477946732382,1738.7806363580614
43,4489.98886412873,0.0,3.2768591359458212,1,0,636.08175575157,0.10108148152778551,281.84575077944896,2036.5284310312995
44,0.0,0.0,3.163199655256796,0,0,636.08175575157,0.35968109206307053,0.0,2318.3741818107483
45,0.0,0.0,3.2137197069682766,0,0,636.08175575157,0.6403421112709446,0.0,2318.3741818107483
46,0.0,0.0,3.256661750923035,0,0,636.08175575157,0.6391455323836541,0.0,2318.3741818107483
47,0.0,0.0,3.29316248828458,0,0,636.08175575157,0.6379369877074906,0.0,2318.3741818107483
48,0.0,0.0,3.324188115041893,0,0,636.08175575157,0.6367163575845656,0.0,2318.3741818107483
49,0.0,0.0,3.350559897785609,0,0,636.08175575157,0.6354835211604113,0.0,2318.3741818107483
50,0.0,0.0,3.3729759131177675,0,0,636.08175575157,0.6342383563720153,0.0,2318.3741818107483
51,0.0,0.0,3.392029526150102,0,0,636.08175575157,0.6329807399357354,0.0,2318.3741818107483
52,0.0,0.0,3.4082250972275867,0,0,636.08175575157,0.6317105473350928,0.0,2318.3741818107483
53,0.0,0.0,3.421991332643449,0,0,636.08175575157,0.6304276528084438,0.0,2318.3741818107483
54,0.0,0.0,3.433692632746932,0,0,636.08175575157,0.6291319293365283,0.0,2318.3741818107483
55,0.0,0.0,3.4436387378348923,0,0,636.08175575157,0.6278232486298935,0.0,2318.3741818107483
